,value
2021-02-02 02:11:08,52
2021-02-02 02:11:18,53
2021-02-02 02:11:23,52
2021-02-02 02:11:38,52
2021-02-02 02:11:48,53
2021-02-02 02:11:58,51
2021-02-02 02:12:13,52
2021-02-02 02:12:18,51
2021-02-02 02:12:23,50
2021-02-02 02:12:28,51
2021-02-02 02:12:33,52
2021-02-02 02:12:38,51
2021-02-02 02:12:43,51
2021-02-02 02:12:48,52
2021-02-02 02:13:03,51
2021-02-02 02:13:18,52
2021-02-02 02:13:28,51
2021-02-02 02:13:33,52
2021-02-02 02:13:48,52
2021-02-02 02:13:58,51
2021-02-02 02:14:13,52
2021-02-02 02:14:23,51
2021-02-02 02:14:28,50
2021-02-02 02:14:43,50
2021-02-02 02:14:48,52
2021-02-02 02:15:03,51
2021-02-02 02:15:08,51
2021-02-02 02:15:23,61
2021-02-02 02:15:28,71
2021-02-02 02:15:33,73
2021-02-02 02:15:38,74
2021-02-02 02:15:43,74
2021-02-02 02:15:48,76
2021-02-02 02:15:58,78
2021-02-02 02:16:03,83
2021-02-02 02:16:08,81
2021-02-02 02:16:13,79
2021-02-02 02:16:18,76
2021-02-02 02:16:23,72
2021-02-02 02:16:28,68
2021-02-02 02:16:33,64
2021-02-02 02:16:38,63
2021-02-02 02:16:43,60
2021-02-02 02:16:48,59
2021-02-02 02:16:53,57
2021-02-02 02:16:58,54
2021-02-02 02:17:03,53
2021-02-02 02:17:18,53
2021-02-02 02:17:23,54
2021-02-02 02:17:33,52
2021-02-02 02:17:48,52
2021-02-02 02:17:53,53
2021-02-02 02:17:58,54
2021-02-02 02:18:08,55
2021-02-02 02:18:18,59
2021-02-02 02:18:23,63
2021-02-02 02:18:28,59
2021-02-02 02:18:33,54
2021-02-02 02:18:38,53
2021-02-02 02:18:48,52
2021-02-02 02:18:58,51
2021-02-02 02:19:03,52
2021-02-02 02:19:08,53
2021-02-02 02:19:23,53
2021-02-02 02:19:24,54
2021-02-02 02:19:29,53
2021-02-02 02:19:39,51
2021-02-02 02:19:44,50
2021-02-02 02:19:49,51
2021-02-02 02:20:04,51
2021-02-02 02:20:14,53
2021-02-02 02:20:19,54
2021-02-02 02:20:24,53
2021-02-02 02:20:29,52
2021-02-02 02:20:34,51
2021-02-02 02:20:49,51
2021-02-02 02:21:04,51
2021-02-02 02:21:19,51
2021-02-02 02:21:24,52
2021-02-02 02:21:29,51
2021-02-02 02:21:34,50
2021-02-02 02:21:39,49
2021-02-02 02:21:49,50
2021-02-02 02:21:54,51
2021-02-02 02:21:59,54
2021-02-02 02:22:04,55
2021-02-02 02:22:14,56
2021-02-02 02:22:19,53
2021-02-02 02:22:24,51
2021-02-02 02:22:29,52
2021-02-02 02:22:34,53
2021-02-02 02:22:39,54
2021-02-02 02:22:49,55
2021-02-02 02:22:54,56
2021-02-02 02:22:59,57
2021-02-02 02:23:04,56
2021-02-02 02:23:09,54
2021-02-02 02:23:14,52
2021-02-02 02:23:19,51
2021-02-02 02:23:29,53
2021-02-02 02:23:34,57
2021-02-02 02:23:39,59
2021-02-02 02:23:44,61
2021-02-02 02:23:49,60
2021-02-02 02:23:54,59
2021-02-02 02:23:59,57
2021-02-02 02:24:04,56
2021-02-02 02:24:19,57
2021-02-02 02:24:29,58
2021-02-02 02:24:39,54
2021-02-02 02:24:44,53
2021-02-02 02:24:54,52
2021-02-02 02:25:04,55
2021-02-02 02:25:09,56
2021-02-02 02:25:14,58
2021-02-02 02:25:19,59
2021-02-02 02:25:24,60
2021-02-02 02:25:29,59
2021-02-02 02:25:39,58
2021-02-02 02:25:44,57
2021-02-02 02:25:59,58
2021-02-02 02:26:04,60
2021-02-02 02:26:14,61
2021-02-02 02:26:19,62
2021-02-02 02:26:24,60
2021-02-02 02:26:34,59
2021-02-02 02:26:39,60
2021-02-02 02:26:44,62
2021-02-02 02:26:49,63
2021-02-02 02:26:54,64
2021-02-02 02:26:59,65
2021-02-02 02:27:04,63
2021-02-02 02:27:09,58
2021-02-02 02:27:14,57
2021-02-02 02:27:24,58
2021-02-02 02:27:29,60
2021-02-02 02:27:39,59
2021-02-02 02:27:44,57
2021-02-02 02:27:54,58
2021-02-02 02:28:09,60
2021-02-02 02:28:19,62
2021-02-02 02:28:24,61
2021-02-02 02:28:29,63
2021-02-02 02:28:34,64
2021-02-02 02:28:39,65
2021-02-02 02:28:44,65
2021-02-02 02:28:49,61
2021-02-02 02:28:54,58
2021-02-02 02:28:59,56
2021-02-02 02:29:04,55
2021-02-02 02:29:19,55
2021-02-02 02:29:34,56
2021-02-02 02:29:44,58
2021-02-02 02:29:49,61
2021-02-02 02:29:54,59
2021-02-02 02:29:59,57
2021-02-02 02:30:09,58
2021-02-02 02:30:19,55
2021-02-02 02:30:24,54
2021-02-02 02:30:29,53
2021-02-02 02:30:44,55
2021-02-02 02:30:54,52
2021-02-02 02:30:59,51
2021-02-02 02:31:09,52
2021-02-02 02:31:14,53
2021-02-02 02:31:24,55
2021-02-02 02:31:29,56
2021-02-02 02:31:34,57
2021-02-02 02:31:39,59
2021-02-02 02:31:44,60
2021-02-02 02:31:54,59
2021-02-02 02:31:59,60
2021-02-02 02:32:14,63
2021-02-02 02:32:19,64
2021-02-02 02:32:24,58
2021-02-02 02:32:29,57
2021-02-02 02:32:34,56
2021-02-02 02:32:39,58
2021-02-02 02:32:44,60
2021-02-02 02:32:49,58
2021-02-02 02:32:54,56
2021-02-02 02:33:09,56
2021-02-02 02:33:14,54
2021-02-02 02:33:19,53
2021-02-02 02:33:34,53
2021-02-02 02:33:39,55
2021-02-02 02:33:49,56
2021-02-02 02:33:59,55
2021-02-02 02:34:09,53
2021-02-02 02:34:14,55
2021-02-02 02:34:19,56
2021-02-02 02:34:24,55
2021-02-02 02:34:29,53
2021-02-02 02:34:34,54
2021-02-02 02:34:39,55
2021-02-02 02:34:49,54
2021-02-02 02:34:54,55
2021-02-02 02:34:59,56
2021-02-02 02:35:04,57
2021-02-02 02:35:19,56
2021-02-02 02:35:34,56
2021-02-02 02:35:49,56
2021-02-02 02:35:59,57
2021-02-02 02:36:04,59
2021-02-02 02:36:14,57
2021-02-02 02:36:19,58
2021-02-02 02:36:24,56
2021-02-02 02:36:39,53
2021-02-02 02:36:49,54
2021-02-02 02:37:04,54
2021-02-02 02:37:14,55
2021-02-02 02:37:19,56
2021-02-02 02:37:34,56
2021-02-02 02:37:44,57
2021-02-02 02:37:49,57
2021-02-02 02:37:54,52
2021-02-02 02:37:59,51
2021-02-02 02:38:04,52
2021-02-02 02:38:09,53
2021-02-02 02:38:19,54
2021-02-02 02:38:29,53
2021-02-02 02:38:34,52
2021-02-02 02:38:44,54
2021-02-02 02:38:54,55
2021-02-02 02:38:59,56
2021-02-02 02:39:04,57
2021-02-02 02:39:09,56
2021-02-02 02:39:14,55
2021-02-02 02:39:19,54
2021-02-02 02:39:34,54
2021-02-02 02:39:49,54
2021-02-02 02:39:54,55
2021-02-02 02:39:59,56
2021-02-02 02:40:09,57
2021-02-02 02:40:14,58
2021-02-02 02:40:19,56
2021-02-02 02:40:24,54
2021-02-02 02:40:39,54
2021-02-02 02:40:49,55
2021-02-02 02:40:59,54
2021-02-02 02:41:04,55
2021-02-02 02:41:09,57
2021-02-02 02:41:14,56
2021-02-02 02:41:24,55
2021-02-02 02:41:29,54
2021-02-02 02:41:44,54
2021-02-02 02:41:59,55
2021-02-02 02:42:14,54
2021-02-02 02:42:19,53
2021-02-02 02:42:29,54
2021-02-02 02:42:34,55
2021-02-02 02:42:39,53
2021-02-02 02:42:44,52
2021-02-02 02:42:54,53
2021-02-02 02:42:59,54
2021-02-02 02:43:09,55
